_id	lemma	newspaper	country	formality	_cws.model	_ctxt.model	model.x	model.y
riem/noun/het_laatste_nieuws_20001201_01_383/86	riem	het_laatste_nieuws	Belgium	popular	hart/noun;onder/prep;moed/noun	"<small>in augustus , toen Lieve Martens ons contacteerde , volledig</small> onderkomen . andquot; Laat mijn verhaal een <u>hart</u><sup>4.638</sup> <u>onder</u><sup>2.372</sup> de <span class='target'>riem</span> zijn voor alle dierenvrienden die de <u>moed</u><sup>1.66</sup> verliezen omdat ze <small>nergens terecht kunnen andquot; , begint ze . andquot; Wat</small>"	-28.7642488537676	15.5840608586691
riem/noun/parool_20020726_39/650	riem	parool	Netherlands	popular	;beteken/verb	"<small>de vertellingen over dit traditionele bergdorp is niet de jonge</small> Ahmed zelf , maar de oude Hizaam , wiens naam <span class='target'>riem</span> <u>betekent</u><sup>1.068</sup> en dit boek zijn titel gaf . Op laconieke <small>, maar steevast liefhebbende toon , vertelt Abodehman hoe Hizaam</small>"	-20.9016184508236	15.3710096494482
riem/noun/parool_20000902_66/29	riem	parool	Netherlands	popular	leren/adj;	"<small>van der Zwan tegen het lijf , 65 nu ,</small> maar jeugdig , gebruind en slank ; een gevlochten <u>leren</u><sup>5.476</sup> <span class='target'>riem</span> moet zijn pantalon te bestemder plekke houden . Hij ging <small>net in het theater Bellevue , ter opening van het</small>"	-12.7009653018092	-20.6167412805545
riem/noun/de_standaard_20030402_01_54/624	riem	de_standaard	Belgium	quality	hart/noun;onder/prep;	"<small>lost niets op . Ik wil vooral begrip voor hen</small> hebben , naar hen luisteren , een <u>hart</u><sup>4.638</sup> <u>onder</u><sup>2.372</sup> de <span class='target'>riem</span> voor hen zijn . Ik speel nu al acht jaar <small>de rol van bomma Florke in de soap Thuis.Onder de</small>"	-28.8809117756776	14.6843746147002
gordel/noun/volkskrant_19991209_50/1114	gordel	volkskrant	Netherlands	quality	;leg_aan/verb;rond/prep	"<small>dorp Nagele in de Noordoostpolder ontwierp , de voorhoede in</small> Nederland van het internationale modernisme . Hij stelde voor en <span class='target'>gordel</span> van woningen aan te <u>leggen</u><sup>1.009</sup> <u>rond</u><sup>2.727</sup> een centrale open ruimte <small>, waarin en waarlangs de gemeenschapsgebouwen zouden komen . '</small>"	19.9974053050049	10.4496263278295
riem/noun/het_nieuwsblad_20000429_01_129/24	riem	het_nieuwsblad	Belgium	popular	;los/adj;riem/noun	"<small>Carlo Lavigne : " Winnen en dan feesten " Terwijl</small> " Winnen en dan feesten " Terwijl vele ploegen de <span class='target'>riem</span> wat <u>losser</u><sup>2.449</sup> laten , schroeft de suikerploeg die <u>riem</u><sup>5.609</sup> nog <small>vaster aan . Onder Jaak Dreesen is van stoom aflaten</small>"	1.40950050037609	20.2700121541158
gordel/noun/het_laatste_nieuws_20010421_01_11/76	gordel	het_laatste_nieuws	Belgium	popular	verwonding/noun;passagier/noun;draag/verb;verwonding/noun	"<small>hij de boordstenen . De chauffeur uit Hemiksem kwam er</small> met lichte <u>verwondingen</u><sup>1.739</sup> vanaf . Zijn vrouwelijke <u>passagier</u><sup>3.636</sup> <u>droeg</u><sup>4.526</sup> geen <span class='target'>gordel</span> en liep <u>verwondingen</u><sup>1.739</sup> aan het hoofd op . De vrouw <small>uit Hemiksem werd zwaargewond overgebracht naar het Klina . (</small>"	-1.73647705423164	2.34991302925161
riem/noun/het_laatste_nieuws_20020523_01_504/386	riem	het_laatste_nieuws	Belgium	popular	;trek_aan/verb	"<small>ook zal gebeuren , wij willen volgend seizoen een ploeg</small> bouwen rondom onze beloftevolle jongeren . En ze zullen de <span class='target'>riem</span> moeten <u>aantrekken</u><sup>1.578</sup> . Verder hoop ik wat extra bestuursleden met <small>vers kapitaal aan te trekken . andquot; Of er van</small>"	-27.634052447803	-1.59995637963226
riem/noun/het_laatste_nieuws_20010626_01_402/345	riem	het_laatste_nieuws	Belgium	popular	we/pron;ga_af/verb;week_DIM/noun;af/part;we/pron	"<small>, allicht de groep vervoegen . andquot; Week rust andquot;</small> Deze week gaan <u>we</u><sup>1.048</sup> hard werken en dan <u>gaat</u><sup>4.352</sup> de <span class='target'>riem</span> er weer voor een <u>weekje</u><sup>3.673</sup> <u>af</u><sup>1.752</sup> . Dat hebben <u>we</u><sup>1.048</sup> <small>vorig jaar ook zo gedaan en dat is iedereen prima</small>"	24.9892919634399	-11.5945075737394
riem/noun/volkskrant_19990909_143/2434	riem	volkskrant	Netherlands	quality	los/adj;	"<small>ook oogt , geen bezoeker durft erin plaats te nemen</small> . Wat als je niet meer <u>los</u><sup>2.449</sup> komt uit die <span class='target'>riemen</span> en klemmen ? Wat als het kunstwerk in een martelwerk <small>verandert ? Rhoades hoeft niet eens te tonen wat angst</small>"	2.99788002076978	14.3230172392394
gordel/noun/algemeen_dagblad_20031211_04/222	gordel	algemeen_dagblad	Netherlands	popular	verkeer_controle/noun;draag/verb;snelheid/noun;controle/noun	"<small>zeven uur ; van half vier tot half elf .</small> Bij extra <u>verkeerscontroles</u><sup>4.378</sup> lag de nadruk op het <u>dragen</u><sup>4.526</sup> van <span class='target'>gordels</span> én op <u>snelheid</u><sup>2.728</sup> . Verder waren er <u>controles</u><sup>2.076</sup> in het <small>openbaar vervoer en de horeca , werden mensen met openstaande</small>"	-1.943967103115	-5.15154614698906
