_id	lemma	newspaper	country	formality	_cws.model	_ctxt.model	model.x	model.y
waardering/noun/de_morgen_20000511_01_29/129	waardering	de_morgen	Belgium	quality	financieel/adj;wat/prep;betreft/prep;	"<small>een aantal ' eigen ' sterren tot elke prijs behouden</small> . Niet alleen <u>financieel</u><sup>1.081</sup> , maar ook <u>wat</u><sup>1.408</sup> <u>betreft</u><sup>1.542</sup> de <span class='target'>waardering</span> wil de BBC zijn talent een hart onder de riem <small>steken . Maar zegt Jon Plowman , BBC-hoofd van humor-entertainment</small>"	-13.3850925128471	-13.5842950193037
waardering/noun/nrc_handelsblad_20020709_34/1030	waardering	nrc_handelsblad	Netherlands	quality	gering/adj;voor/prep	"<small>het welletjes is als Defensie kan meedoen aan drie vredesoperaties</small> tegelijk in plaats van vier . Tromp betreurt de <u>geringe</u><sup>1.823</sup> <span class='target'>waardering</span> <u>voor</u><sup>1.221</sup> Defensie . " De herstructurering van de krijgsmacht is <small>uiterst belangrijk en met deelname aan vredesoperaties kun je Nederlands</small>"	-12.1760881940562	-10.6923031783476
waardering/noun/nrc_handelsblad_20011005_144/830	waardering	nrc_handelsblad	Netherlands	quality	waard/adj;publiek/noun	"<small>hou van drinken en zingen . Dat zijn de dingen</small> die een tournee de moeite <u>waard</u><sup>1.615</sup> maken , plus de <span class='target'>waardering</span> van het <u>publiek</u><sup>1.332</sup> . Wat daar allemaal nog bij komt <small>, zoals het reizen en het lange wachten op de</small>"	-2.27532444038382	-16.7118190255055
waardering/noun/algemeen_dagblad_20010115_83/169	waardering	algemeen_dagblad	Netherlands	popular	krijg/verb;8,2/num;zelden/adj	"<small>Voor de stille tocht gold het cijfer 7,6 . De</small> herdenkingsbijeenkomst in het stadion van FC Volendam <u>kreeg</u><sup>1.583</sup> zelfs als <span class='target'>waardering</span> een <u>8,2</u><sup>2.787</sup> . het komt <u>zelden</u><sup>1.173</sup> voor dat een uitzending <small>een uitzending een waarderingscijfer van boven de acht krijgt .</small>"	9.39044733649036	-16.3389792289061
erkenning/noun/parool_19990120_6/894	erkenning	parool	Netherlands	popular	Bondsrepubliek/name;minderheid/noun;ontkenning/noun;houd_in/verb	"<small>Juist de voor-nationale traditie van federatieve structuren - welke in</small> de federale indeling van de <u>Bondsrepubliek</u><sup>2.163</sup> voortleeft ; welke de <span class='target'>erkenning</span> van <u>minderheden</u><sup>1.677</sup> en de <u>ontkenning</u><sup>2.234</sup> van uniformiteit <u>inhoudt</u><sup>2.661</sup> - , <small>lijkt mij voor de integratie van een post-nationaal Europa een</small>"	1.1801911027321	11.3131496148789
waardering/noun/de_standaard_20040114_01_61/193	waardering	de_standaard	Belgium	quality	gemiddeld/adj;8,1/num;beduidend/adj;hoog/adj;7,5/num	"<small>worden door de kijkers ook heel sterk gewaardeerd . Met</small> een <u>gemiddelde</u><sup>1.186</sup> score van <u>8,1</u><sup>3.653</sup> op 10 , ligt de <span class='target'>waardering</span> van de Woestijnvisprogramma's <u>beduidend</u><sup>1.139</sup> <u>hoger</u><sup>1.807</sup> dan de score van <u>7,5</u><sup>2.737</sup> <small>, die de VRT als minimale norm nastreeft . Woestijnvis</small>"	-18.7923817981106	-14.087588654694
erkenning/noun/de_standaard_20000621_01_119/622	erkenning	de_standaard	Belgium	quality	;wacht/verb	"<small>een beetje zoals vroeger op school . " Ook in</small> de nationale ploeg moest Filip De Wilde tergend lang op <span class='target'>erkenning</span> <u>wachten</u><sup>1.119</sup> . Zijn eerste oproeping dateert al van 1984 maar <small>toch heeft hij met 35 nog maar 32 caps ,</small>"	10.8839606646555	-9.87252544793105
waardering/noun/de_morgen_20040207_01_108/4231	waardering	de_morgen	Belgium	quality	daarbuiten/pp;straal_af/verb;voor/prep	"<small>wordt hard gewerkt en er worden resultaten geboekt . Alleen</small> heerst <u>daarbuiten</u><sup>1.728</sup> een grote zenuwachtigheid die wat <u>afstraalt</u><sup>3.115</sup> op de <span class='target'>waardering</span> <u>voor</u><sup>1.221</sup> het regeringswerk . Je kunt dat jammer vinden , <small>maar de werkelijkheid is dat die kieskoorts niet meer zal</small>"	-10.2827005310397	-14.0291506909203
waardering/noun/de_morgen_20010526_01_285/461	waardering	de_morgen	Belgium	quality	aandeel/noun;trek_op/verb;koop/noun	"<small>Barings waardeert Interbrew op ING Barings verhoogt zijn koersdoel voor</small> brouwer Interbrew van 30tot 34 euro per <u>aandeel</u><sup>2.231</sup> . De <span class='target'>waardering</span> werd <u>opgetrokken</u><sup>1.646</sup> van " houden " tot " <u>kopen</u><sup>2.946</sup> " <small>en de geschatte winst per aandeel in 2002 gaat van</small>"	-15.1285178413333	-20.9532369200539
waardering/noun/nrc_handelsblad_20040508_233/433	waardering	nrc_handelsblad	Netherlands	quality	relatief/adj;laag/adj;voor/prep;architectuur/noun	"<small>interessante perspectieven . Zowel voor de discussie over integratie van</small> vreemde culturen als ook met betrekking tot de <u>relatief</u><sup>1.862</sup> <u>lage</u><sup>2.307</sup> <span class='target'>waardering</span> van de bevolking <u>voor</u><sup>1.221</sup> moderne <u>architectuur</u><sup>1.237</sup> uit eigen westerse cultuur <small>. De gedachte dat daar waar culturen samenkomen de som</small>"	-17.0025987444756	-16.4721122331745
